epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,9438.54,0.97979,0.67254,1.25028,0.96657,0.94037,0.9623,0.79396,0.63924,0.40998,0.99764,0.00492654,0.00492654,0.00492654
103,9532.57,0.96375,0.66071,1.2337,0.97805,0.95101,0.96697,0.82701,0.56416,0.36536,0.92902,0.0048481,0.0048481,0.0048481
104,9620.05,0.97968,0.65735,1.23907,0.95263,0.9284,0.95902,0.80876,0.60956,0.41038,0.96278,0.0047697,0.0047697,0.0047697
105,9709.09,0.96881,0.66783,1.23535,0.97954,0.92585,0.96602,0.83195,0.57324,0.37574,0.95,0.00469136,0.00469136,0.00469136
106,9796.95,0.95028,0.64891,1.2253,0.9727,0.93543,0.96007,0.83285,0.54757,0.35534,0.93041,0.0046131,0.0046131,0.0046131
107,9891.87,0.96745,0.65039,1.22947,0.97182,0.94477,0.96281,0.83451,0.553,0.37631,0.92617,0.00453493,0.00453493,0.00453493
108,9981.44,0.96977,0.64865,1.23743,0.96641,0.92643,0.95921,0.81139,0.62461,0.40935,0.98501,0.00445688,0.00445688,0.00445688
109,10081,0.94328,0.63985,1.22264,0.96742,0.93972,0.96066,0.8328,0.60917,0.39832,0.96039,0.00437896,0.00437896,0.00437896
110,10167.1,0.95411,0.65488,1.23603,0.97013,0.92019,0.95806,0.80974,0.59966,0.39091,0.95878,0.0043012,0.0043012,0.0043012
111,10269.4,0.95575,0.64631,1.22521,0.96964,0.94672,0.95768,0.83138,0.5954,0.37681,0.95745,0.00422361,0.00422361,0.00422361
112,10364.7,0.96366,0.65539,1.22371,0.96604,0.93893,0.96316,0.82891,0.56384,0.36185,0.93705,0.00414621,0.00414621,0.00414621
113,10462.2,0.94189,0.63088,1.21696,0.97757,0.9405,0.95831,0.83119,0.58638,0.36224,0.94441,0.00406903,0.00406903,0.00406903
