epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,7538.77,0.88104,0.56636,1.1825,0.98757,0.93697,0.94881,0.86322,0.5102,0.34071,0.90372,0.000360766,0.000360766,0.000360766
134,7593.92,0.84764,0.55011,1.1608,0.98887,0.93791,0.94853,0.8591,0.50567,0.34021,0.90312,0.000323276,0.000323276,0.000323276
135,7650.93,0.85069,0.5339,1.1562,0.99042,0.93687,0.9486,0.86446,0.49972,0.33238,0.90108,0.00028784,0.00028784,0.00028784
136,7728.13,0.68078,0.42054,1.10489,0.98476,0.9364,0.9462,0.84408,0.54675,0.34768,0.90747,0.000254473,0.000254473,0.000254473
137,7780.87,0.66402,0.39164,1.09066,0.98785,0.93843,0.94914,0.80431,0.64074,0.36246,0.93079,0.000223189,0.000223189,0.000223189
138,7835.24,0.6285,0.36991,1.06405,0.9881,0.93939,0.94909,0.81291,0.60404,0.3586,0.92261,0.000194003,0.000194003,0.000194003
139,7888.34,0.61993,0.36151,1.05795,0.98755,0.93885,0.94975,0.82872,0.56336,0.35045,0.9128,0.000166927,0.000166927,0.000166927
140,7941.19,0.62316,0.3592,1.06147,0.98879,0.93527,0.94917,0.83371,0.55583,0.3507,0.91029,0.000141973,0.000141973,0.000141973
141,7993.86,0.61743,0.35003,1.05734,0.989,0.93535,0.94748,0.82297,0.57122,0.34843,0.91298,0.000119153,0.000119153,0.000119153
142,8046.45,0.60105,0.35009,1.05606,0.98762,0.93899,0.95007,0.82512,0.57358,0.34769,0.91208,9.84752e-05,9.84752e-05,9.84752e-05
143,8098.77,0.60755,0.3509,1.05523,0.98819,0.93939,0.95025,0.8201,0.60419,0.3539,0.92023,7.99498e-05,7.99498e-05,7.99498e-05
144,8150.96,0.62725,0.35212,1.07733,0.9882,0.93939,0.95018,0.82085,0.60552,0.35388,0.92083,6.35847e-05,6.35847e-05,6.35847e-05
145,8203.61,0.60562,0.35185,1.06188,0.98826,0.93939,0.95018,0.82277,0.59934,0.35084,0.91884,4.93871e-05,4.93871e-05,4.93871e-05
146,8258.22,0.61494,0.35387,1.05094,0.9884,0.93937,0.95051,0.82331,0.61195,0.34865,0.92127,3.73631e-05,3.73631e-05,3.73631e-05
147,8311.4,0.61476,0.34426,1.05766,0.98835,0.93925,0.95052,0.82849,0.58777,0.3476,0.9157,2.75182e-05,2.75182e-05,2.75182e-05
148,8364.6,0.60126,0.34468,1.05587,0.98842,0.93933,0.95039,0.82184,0.60579,0.3521,0.9203,1.98565e-05,1.98565e-05,1.98565e-05
149,8417.8,0.60235,0.34992,1.05636,0.98846,0.93939,0.95033,0.82601,0.59579,0.35102,0.91814,1.43815e-05,1.43815e-05,1.43815e-05
150,8470.89,0.59907,0.34567,1.04683,0.98846,0.93939,0.9504,0.8312,0.58813,0.34919,0.91557,1.10955e-05,1.10955e-05,1.10955e-05
